1,0,"030300 ACAD","030300 ACAD","2023-03-17 14:46:03","admin"
2,0,"0600 Typical folder structure","0600 Typical folder structure","2023-03-17 14:46:07","admin"
3,0,"0601 SHARED","0601 SHARED","2023-03-17 14:46:10","admin"
4,0,"0602 GIS","0602 GIS","2023-03-17 14:46:13","admin"
5,0,"0605 Architecture","0605 Architecture","2023-03-17 14:46:37","admin"
6,0,"0606 Civil Engineering","0606 Civil Engineering","2023-03-17 14:46:50","admin"
7,0,"0607 Structural","0607 Structural","2023-03-17 14:47:09","admin"
8,0,"0620 Quantity Survey","0620 Quantity Survey","2023-03-17 14:47:19","admin"
9,0,"0622 Legal","0622 Legal","2023-03-17 14:47:29","admin"
10,0,"Risk management","Risk management","2023-03-17 14:47:38","admin"
25,1,"030300 Civil 3d install file","030300 Civil 3d install file","2023-03-25 15:31:32","tony.debuys@gmail.com"
26,25,"Civil 3D 2023","Civil 3D 2023","2023-03-25 16:30:46","tony.debuys@gmail.com"
27,1,"030306 DLL","030306 DLL","2023-03-25 16:31:31","tony.debuys@gmail.com"
28,27,"vb.net","vb.net","2023-03-25 16:31:52","tony.debuys@gmail.com"
29,28,"HelloWorld","HelloWorld","2023-03-25 17:56:20","tony.debuys@gmail.com"
30,29,"bin","bin","2023-03-25 19:53:30","tony.debuys@gmail.com"
31,3,"0600100-01 Legislation","0600100-01 Legislation","2023-03-25 17:57:40","tony.debuys@gmail.com"
32,3,"0600100-02 Regulatory requirements and guidelines","0600100-02 Regulatory requirements and guidelines","2023-03-25 18:00:27","tony.debuys@gmail.com"
33,32,"0300100-02-01 JRA","0300100-02-01 JRA","2023-03-25 18:01:08","tony.debuys@gmail.com"
34,32,"0300100-02-02 Joburg Water","0300100-02-02 Joburg Water","2023-03-25 18:13:36","tony.debuys@gmail.com"
35,34,"Details","Details","2023-03-25 18:14:41","tony.debuys@gmail.com"
36,34,"Standards","Standards","2023-03-25 18:18:57","tony.debuys@gmail.com"
37,32,"0300100-02-03 City of Tshwane","0300100-02-03 City of Tshwane","2023-03-25 18:28:29","tony.debuys@gmail.com"
38,32,"0600100-02-05 SANS","0600100-02-05 SANS","2023-03-25 18:30:49","tony.debuys@gmail.com"
39,38,"SANS1200","SANS1200","2023-03-25 19:59:08","tony.debuys@gmail.com"
40,38,"SANS2001","SANS2001","2023-03-25 19:59:17","tony.debuys@gmail.com"
41,32,"0600100-02-06 Public Works","0600100-02-06 Public Works","2023-03-25 20:00:01","tony.debuys@gmail.com"
42,41,"Construction specifications","Construction specifications","2023-03-25 20:00:17","tony.debuys@gmail.com"
43,41,"For Architects","For Architects","2023-03-25 20:00:33","tony.debuys@gmail.com"
44,41,"For Civil engineers","For Civil engineers","2023-03-25 20:00:43","tony.debuys@gmail.com"
45,44,"Civil Engineering Manual PW3472012","Civil Engineering Manual PW3472012","2023-03-25 20:01:06","tony.debuys@gmail.com"
46,45,"Civil Engineering Manual PW3472012","Civil Engineering Manual PW3472012","2023-03-25 20:09:36","tony.debuys@gmail.com"
47,46,"Guidelines","Guidelines","2023-03-25 20:09:27","tony.debuys@gmail.com"
48,46,"Preface","Preface","2023-03-25 20:10:26","tony.debuys@gmail.com"
49,46,"Section A","Section A","2023-03-25 20:10:34","tony.debuys@gmail.com"
50,46,"Section B","Section B","2023-03-25 20:10:41","tony.debuys@gmail.com"
51,46,"Section C","Section C","2023-03-25 20:10:46","tony.debuys@gmail.com"
52,46,"Section D","Section D","2023-03-25 20:10:52","tony.debuys@gmail.com"
53,46,"Section E","Section E","2023-03-25 20:11:00","tony.debuys@gmail.com"
54,46,"Section F","Section F","2023-03-25 20:11:10","tony.debuys@gmail.com"
55,46,"Section G","Section G","2023-03-25 20:11:21","tony.debuys@gmail.com"
56,46,"Section H","Section H","2023-03-25 20:11:27","tony.debuys@gmail.com"
57,32,"0600100-02-07 Ekurhuleni","0600100-02-07 Ekurhuleni","2023-03-25 20:12:22","tony.debuys@gmail.com"
58,32,"0600100-02-08 Ethekwini-Durban","0600100-02-08 Ethekwini-Durban","2023-03-25 20:13:08","tony.debuys@gmail.com"
59,32,"0600100-02-09 Red book","0600100-02-09 Red book","2023-03-25 20:13:23","tony.debuys@gmail.com"
60,59,"2019","2019","2023-03-25 20:14:15","tony.debuys@gmail.com"
61,60,"The REDBOOK for Water and Sanitation","The REDBOOK for Water and Sanitation","2023-03-25 20:14:31","tony.debuys@gmail.com"
62,3,"0600100-03 Cost","0600100-03 Cost","2023-03-25 20:14:46","tony.debuys@gmail.com"
63,62,"0600100-03-01 Fee estimates","0600100-03-01 Fee estimates","2023-03-25 20:15:03","tony.debuys@gmail.com"
64,63,"0300100-03-01 Professional fee guidelines","0300100-03-01 Professional fee guidelines","2023-03-25 20:15:44","tony.debuys@gmail.com"
